No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3
508,130055,MIE SUKSES KUAH AB,0,MIE,MIE,BKS,LOS,DOS
509,130056,MIE TELUR 3 AYAM MR/KN,0,MIE,MIE,BKS,LOS,DOS
510,130057,MIHUN KIJANG 1/4KG,0,MIHUN,MIHUN,BKS,LOS,BAL
511,130058,MILKU SUSU UHT Coklat,0,SUSU,SUSU,BTL,BTL,DOS
512,130059,MILKU SUSU UHT Strawbery,0,SUSU,SUSU,BTL,BTL,DOS
513,130060,MILO SC 22GR,0,SUSU,SUSU,RTG,RTG,DOS
514,130061,MINYAK CR,0,MINYAK GORENG,MYKGR,KG,LOS,ISI
515,130062,MINYAK GR ALIBABA 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
516,130063,MINYAK GR XXXXXXX,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
517,130064,MINYAK GR BIMOLI CL 18L,0,MINYAK GORENG,MYKGR,JRG,JRG,JRG
518,130065,MINYAK GR BIMOLI CL 5L,0,MINYAK GORENG,MYKGR,JRG,BTL,DOS
519,130066,MINYAK GR BIMOLI CL 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
520,130067,MINYAK GR BIMOLI CL 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
521,130068,MINYAK GR BIMOLI SP 5L,0,MINYAK GORENG,MYKGR,JRG,JRG,DOS
522,130069,MINYAK GR BIMOLI SP 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
523,130070,MINYAK GR BIMOLI SP 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
524,130071,MINYAK GR DORANG 450ML,0,MINYAK GORENG,MYKGR,IKT,IKT,DOS
525,130072,MINYAK GR FILMA 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
526,130073,MINYAK GR FORTUNE 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
527,130074,MINYAK GR FORTUNE 1L BANTAL,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
528,130075,MINYAK GR KUDA 500ML,0,MINYAK GORENG,MYKGR,BTL,BTL,DOS
529,130076,MINYAK GR KITA 5L,0,MINYAK GORENG,MYKGR,JRG,JRG,DOS
530,130077,MINYAK GR ALCO 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
531,130078,MINYAK GR KUNCI MAS 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
532,130079,MINYAK GR ROSE CUP,0,MINYAK GORENG,MYKGR,PCS,LOS,DOS
533,130080,MINYAK GR FRAIS WELL 1L,0,MINYAK GORENG,MYKGR,BKS,LOS,DOS
534,130081,MINYAK GR FRAIS WELL 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
535,130082,MINYAK GR FRAIS WELL 500ml,0,MINYAK GORENG,MYKGR,BKS,LOS,DOS
536,130083,MINYAK GR FRAIS WELL 5L,0,MINYAK GORENG,MYKGR,JRG,JRG,DOS
537,130084,MINYAK GR SABRINA 900ml,0,MINYAK GORENG,MYKGR,BKS,LOS,DOS
538,130085,MINYAK GR SABRINA 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
539,130086,MINYAK GR SANIA SOVIA 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
540,130087,MINYAK GR SEDAP 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
541,130088,MINYAK GR SEDAP 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
542,130089,MINYAK GR SUNCO 1L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
543,130090,MINYAK GR SUNCO 2 L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
544,130091,MINYAK GR SUNCO 500ML,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
545,130092,MINYAK GR SUNCO 5L,0,MINYAK GORENG,MYKGR,JRG,JRG,DOS
546,130093,MINYAK GR TROPICAL RF 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
547,130094,MINYAK GR SEDAP 20L,0,MINYAK GORENG,MYKGR,JRG,JRG,JRG
548,130095,MINYAK GR AMAGO 2L,0,MINYAK GORENG,MYKGR,BKS,BKS,DOS
549,130096,MINYAK GR ALCO 18L Premium,0,MINYAK GORENG,MYKGR,JRG,JRG,JRG
550,130097,MINYAK KAYU PUTIH CAP LANG 60ML,0,MINYAK,MYK,BTL,LOS,LSN
551,130098,MINYAK TAWON DD,0,MINYAK,MYK,BTL,BTL,LSN
552,130099,MINYAK TELON GAJAH 120ML,0,MINYAK,MYK,BTL,BTL,LSN
553,130100,MINYAK TELON GAJAH 60ML,0,MINYAK,MYK,BTL,BTL,LSN
554,130101,MINYAK WIJEN KUDA PAL,0,MINYAK,MYK,BTL,BTL,DOS
555,130102,MINYAK WIJEN LOWO 620ML,0,MINYAK,MYK,BTL,BTL,BTL
556,130103,MIRI PECAH,0,PALAWIJA,PLWJ,ONS,LOS,KG
557,130104,MLINJO EMPING,0,KRUPUK,KRP,ONS,KG,DOS
558,130105,MOLTO ALL IN 18ML SC,0,SABUN CAIR,SBNCR,RTG,RTG,DOS
559,130106,MOLTO ALL IN SC 500,0,SABUN CAIR,SBNCR,RTG,RTG,DOS
560,130107,MOLTO PEWANGI 450ML,0,SABUN CAIR,SBNCR,BKS,LSN,DOS
561,130108,MOLTO PEWANGI 800ML,0,SABUN CAIR,SBNCR,BKS,BKS,DOS
562,130109,MOLTO SOFTENER 800ML,0,SABUN CAIR,SBNCR,BKS,BKS,DOS
