,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3,Satuan 4,Konversi 1,Konversi 2,Konversi 3,Konversi 4,Satuan Beli,Satuan Jual,Default Qty Jual,PPN,Keterangan,HJ 1 - Satuan 1,HJ 2 - Satuan 1,HJ 3 - Satuan 1,HJ 1- Satuan 2,HJ 2- Satuan 2,HJ 3- Satuan 2,HJ 1 - Satuan 3,HJ 2 - Satuan 3,HJ 3 - Satuan 3,HJ 1 - Satuan 4,HJ 2 - Satuan 4,HJ 3 - Satuan 4,Harga Perolehan,Harga Beli
87,20045,BERAS 25KG LAHAP,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,0,0,0,0,0,0,375000,0,0,0,0,0,-711239.12,14650
88,20046,BERAS 25KG kecombrang,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,14000,0,0,14000,0,0,337500,0,0,0,0,0,13100,13200
89,20047,BERAS 25KG ________,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,10000,0,0,10000,0,0,222500,0,0,0,0,0,0,0
90,20048,BIHUN JAGUNG PADAMU KN.,0,BIHUN,BIHUN,BKS,LOS,BAL,,1,1,24,0,3,3,0,0,,4000,0,0,3800,0,0,78000,0,0,0,0,0,3144.88,3145.04
91,20049,BIHUN JAGUNG PADAMU MR,0,BIHUN,BIHUN,BKS,LOS,BAL,,1,1,12,0,3,3,0,0,,7000,0,0,6800,0,0,77500,0,0,0,0,0,6208.13,6209.25
92,20050,BIHUN JAGUNG PADAMU OR.,0,BIHUN,BIHUN,BKS,RTG,BAL,,1,4,60,0,3,3,0,0,,1900,0,0,7500,0,0,77500,0,0,0,0,0,0,0
93,20051,BIO 200GR,0,MSG,MSG,BKS,PRES,DOS,,1,10,80,0,3,2,0,0,,11500,0,0,110000,0,0,860000,0,0,0,0,0,10475.94,10462.5
94,20052,BIO 40GR xxx,0,,,BKS,PRES,DOS,,1,20,240,0,3,2,0,0,,1700,0,0,33000,0,0,340000,0,0,0,0,0,0,0
95,20053,BIO P1000,0,MSG,MSG,BKS,PRES,DOS,,1,20,300,0,3,2,0,0,,1000,0,0,17500,0,0,255000,0,0,0,0,0,816.67,816.67
96,20054,BI XXXXXXXXX,0,,,RTG,PRES,DOS,,1,8,112,0,3,2,0,0,,2800,0,0,20500,0,0,276000,0,0,0,0,0,2379.11,2375
97,20055,BON CABE LV 15 / 30 xxx,0,MISC,BUMBU,RTG,PRES,DOS,,1,2,20,0,3,2,0,0,,10500,0,0,20000,0,0,197500,0,0,0,0,0,5.75,9450
98,20056,BOOM DETERGEN 430GR xxx,0,DETERGEN,DETERGEN,BKS,BKS,DOS,,1,1,12,0,3,3,0,0,,5000,0,0,5000,0,0,50000,0,0,0,0,0,3380.27,3416.67
99,20057,BOTOL B,0,MISC,MISC,BTL,BTL,BTL,,1,1,1,0,3,1,0,0,,1300,0,0,1300,0,0,1300,0,0,0,0,0,0,0
100,20058,BOTOL K,0,MISC,MISC,BTL,BTL,BTL,,1,1,1,0,3,1,0,0,,1000,0,0,1000,0,0,1000,0,0,0,0,0,0,0
101,20059,BUBUR NESTLE CERELAC MR xxx,0,MINUMAN,MINUMAN,RTG,RTG,DOS,,1,1,16,0,3,1,0,0,,13000,0,0,13000,0,0,187500,0,0,0,0,0,11313,11313
