Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
292,090009 - I________,0,PCS,,,
293,090010 - I________,0,PCS,,,
294,090011 - I________,0,PCS,,,
295,090012 - I________,0,PCS,,,
296,090013 - I________,0,PCS,,,
297,090014 - I________,0,PCS,,,
298,090015 - I________,0,PCS,,,
299,100001 - JAGUNG xxx,0,KG,,,
300,100004 - JAMUR KUPING SU,3,PCS,,,
301,100002 - JELLY LOS SAKURA,3.5,ONS,,,
302,100005 - JINTEN PUTIH,93020.5,ONS,,,
303,100003 - JURIGEN KOSONG,9959,JRG,,,
304,100006 - J________,0,PCS,,,
305,100007 - J________,0,PCS,,,
25/05/2026 15:20:20,,,,Halaman ke 6 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
306,100008 - J________,0,PCS,,,
307,100009 - J________,0,PCS,,,
308,100010 - J________,0,PCS,,,
309,100011 - J________,0,PCS,,,
310,100012 - J________,0,PCS,,,
311,100013 - J________,0,PCS,,,
312,110001 - KACANG HIJAU BUTEK,8.5,KG,,,
313,110002 - KACANG HIJAU KUPAS GIOK,7.25,KG,,,
314,110130 - KACANG HIJAU MINYAK,81.55,KG,,,
315,110003 - KACANG RRC KUPAS,106.5,KG,,,
316,110157 - KACANG TANAH 7MM new,8.5,KG,,,
317,110005 - KACANG TANAH 7MM TB baru,145.75,KG,,,
318,110007 - KANJI B 200gr,20,BKS,,,
319,110006 - KANJI B 400gr,255,BKS,,,
320,110008 - KANJI GAJAH LAUT 10KG,0,BKS,,,
321,110009 - KANJI GUNUNG DUS,0,BKS,,,
322,110010 - KANJI K 150 GR,280,BKS,,,
323,110011 - KANJI K MINI 1500an,17,BAL,,,
324,110012 - KANJI MAWAR 25kg,25,KG,,,
325,110147 - KANJI MAWAR 500GR,960,BKS,,,
326,110013 - KANJI PANDA,125,KG,,,
327,110133 - KANJI TANI KUNING 25KG,1000,KG,,,
328,110116 - KANJI TANI KUNING 500gr,333,BKS,,,
329,110015 - KANJI TANI LTK 1KG,794,BKS,,,
330,110014 - KANJI TERONG,700,KG,,,
331,110161 - KAPAL API 6GR MINI SILVER,52,RTG,,,
332,110017 - KARA BUBUK,101,RTG,,,
333,110164 - KARA CAIR 1000ML,98,PCS,,,
334,110018 - KARET PIALA / 999,22,BKS,,,
335,110122 - KAXXXXXXXX,0,KG,,,
336,110156 - KECAP 2 BURUNG 450 ML,46,PCS,,,
337,110019 - KECAP 2 IKAN BANDENG  B,195,ISI,,,
338,110020 - KECAP 2 IKAN BANDENG K,283,ISI,,,
339,110021 - KECAP ABC ASIN BTL 620ML,10,ISI,,,
340,110022 - KECAP ABC ASIN MJ 135ML,58,BTL,,,
341,110023 - KECAP ABC MANIS 6 KG JURIGEN,3,JRG,,,
342,110024 - KECAP ABC MANIS MJ 135ML,166,BTL,,,
343,110025 - KECAP ABC MANIS RV 225ML,8,BKS,,,
344,110026 - KECAP ABC MANIS RV 520ML,197,BKS,,,
345,110027 - KECAP ABC MANIS RV 60ML,194,BKS,,,
346,110028 - KECAP ABC MANIS SC 500 NEW,38,PRES,,,
347,110029 - KECAP ABC MANIS TG 275ML,0,BTL,,,
348,110030 - KECAP ASIN 150,25,BTL,,,
349,110031 - KECAP ASIN 250,2,BTL,,,
350,110120 - KECAP ASIN 350,12,BTL,,,
351,110032 - KECAP BADER B,1262,BTL,,,
352,110033 - KECAP BADER K,0,ISI,,,
353,110162 - KECAP BANGO 140ML MEJA,43,BTL,,,
354,110152 - KECAP BANGO RV 1.5KG,23,BKS,,,
355,110034 - KECAP BANGO RV 200ML,224,BKS,,,
356,110035 - KECAP BANGO RV 550 ML / 700g,228,BKS,,,
357,110036 - KECAP BANGO RV 60ML,2936,BKS,,,
25/05/2026 15:20:20,,,,Halaman ke 7 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
358,110037 - KECAP BANGO SC 20 ML,555,RTG,,,
359,110119 - KECAP DELMIN B xxx,0,ISI,,,
360,110118 - KECAP DELMIN K xxx,0,ISI,,,
361,110038 - KECAP IKAN ILU NC,9,BTL,,,
362,110132 - KECAP KIPAS SATE JRG,1,JRG,,,
363,110039 - KECAP KKK RAJA RASA B,245,BTL,,,
364,110040 - KECAP KKK RAJA RASA K,59,BTL,,,
365,110041 - KECAP KKK RAJA RASA T,35,BTL,,,
366,110148 - KECAP MANIS CAP JEMPOL 450ML,48,BKS,,,
367,110129 - KECAP RAJA RASA MJ 135ML LB,23,PCS,,,
368,110042 - KECAP SAWI B,46,ISI,,,
369,110131 - KECAP SAWI RV 5000an,151,PCS,,,
370,110127 - Kecap Sawi Rv k,100,PCS,,,
371,110128 - KECAP SAWI SC 1000an,21,RTG,,,
372,110159 - KECAP SEDAP 60ML 5+1,560,BKS,,,
373,110043 - KECAP SEDAP BTL,0,BTL,,,
374,110044 - KECAP SEDAP HIJAU 600ML,79,BKS,,,
375,110115 - KECAP SEDAP HIJAU 60ML,0,BKS,,,
376,110117 - KECAP SEDAP HIJAU SC 1000AN xxx,0,RTG,,,
377,110045 - KECAP SEDAP MJ 140ML,0,BTL,,,
378,110046 - KECAP SEDAP RV 225ML,86,BKS,,,
379,110047 - KECAP SEDAP RV 550 ML,47,BKS,,,
380,110048 - KECAP SEDAP RV 63ML,860,BKS,,,
381,110049 - KECAP SEDAP SC 500-AN,53,PRES,,,
382,110050 - KEDELE,604.3,KG,,,
383,110051 - KEDELE KUPAS,70.5,KG,,,
384,110052 - KEJU KRAFT 2KG,0,BOX,,,
385,110146 - KEJU PROCIZ SPREADY,760,PCS,,,
386,110124 - KEJU WIN Cheese 2KG xxx,0,SLOP,,,
387,110163 - Keju Winchiz 250g,53,BKS,,,
388,110064 - KERTAS BUNGKUS GAJAH BR xxx,0,PRES,,,
389,110058 - KERTAS BUNGKUS GAJAH MR,12,PRES,,,
390,110059 - KERTAS MERANG,20,IKT,,,
391,110053 - KETAN HITAM,8.45,KG,,,
392,110055 - KETAN SIEM SINTA,99.75,KG,,,
393,110054 - KETAN SUPER Rajawali poles,0,KG,,,
394,110056 - KETAN VIET SUPER GSK,83.75,KG,,,
395,110057 - KHONG GUAN,0,KTK,,,
396,110060 - KISPRAY 300ML,19,BKS,,,
397,110061 - KISPRAY SC,0,RTG,,,
398,110062 - KIWI PASTA 45ML xxx,0,PCS,,,
399,110063 - KODOMO ODOL,90,KTK,,,
400,110136 - KONJAC ANGGUR,885,PCS,,,
401,110155 - KONJAC CINCAU,2260,PCS,,,
402,110145 - KONJAC COKLAT,366,PCS,,,
403,110140 - KONJAC JAMBU,10,PCS,,,
404,110139 - KONJAC JERUK,1116,PCS,,,
405,110137 - KONJAC KELAPA,2539,PCS,,,
406,110138 - KONJAC LECI,1290,PCS,,,
407,110141 - KONJAC MANGGA,998,PCS,,,
408,110142 - KONJAC MELON,2604,PCS,,,
409,110144 - KONJAC SIRSAK,0,PCS,,,
25/05/2026 15:20:20,,,,Halaman ke 8 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
410,110143 - KONJAC STRAWBERRY,2844,PCS,,,
411,110066 - KOPI,19,KG,,,
412,110067 - KOPI ABC SUSU,57,RTG,,,
413,110068 - KOPI ABC WHITE 5+1,0,RTG,,,
414,110158 - KOPI FRESCO CAPPUCINNO,10,RTG,,,
415,110134 - KOPI JALAK GEBOK,42,PCS,,,
416,110121 - KOPI JALAK RENTENG 11GR,122,RTG,,,
417,110069 - KOPI JAxxxxxxx,0,RTG,,,
418,110072 - KOPI KAPAL API  xxxxxxx MUTU KHUSUS 65gr xxx,0,RTG,,,
419,110016 - KOPI KAPAL API FRESCO SUSU,11,RTG,,,
420,110070 - KOPI KAPAL API GRANDE WHITE,0,RTG,,,
421,110071 - KOPI KAPAL API MANTAP,0,RTG,,,
422,110073 - KOPI KAPAL API SPC 150GR,386,BKS,,,
423,110074 - KOPI KAPAL API SPC 30GR,291,RTG,,,
424,110075 - KOPI KAPAL API SPC 350 GR,54,BKS,,,
425,110076 - KOPI KAPAL API SPC 60GR,92,RTG,,,
426,110077 - KOPI KAPAL API SPC mini 6GR,7847,RTG,,,
